NAME,AGE,GENDER,SSN,BLOOD GROUP,RELIGION,SALARY,DISEASES,STATE,PINCODE
SHREYAS,71,F,1153,A+,SIKH,216755,DENGUE,ANDHRA PRADESH,535204
SOHAIB,92,M,1116,A+,CHRISTIAN,213303,ASTHMA,ANDHRA PRADESH,522307
SEANE,23,M,1613,B+,MUSLIM,222988,INFLUENZA,ANDHRA PRADESH,524004
AHMED,69,M,1939,AB-,CHRISTIAN,213199,TYPHOID,BIHAR,845452
ANGELO,78,M,1125,B+,MUSLIM,220904,HYPERTENSION,ASSAM,787058
ALVERN,68,M,1923,A+,HINDU,230899,CHOLERA,ANDHRA PRADESH,531029
ARISTOMENIS,26,M,1218,AB+,SIKH,230578,TYPHOID,HARYANA,123411
REHAAN,65,M,1409,A+,SIKH,210356,SMALL POX,ANDHRA PRADESH,524234
RUARIDH,51,F,1500,AB-,CHRISTIAN,200772,ASTHMA,ANDHRA PRADESH,535125
ALVIN,21,M,1761,O+,SIKH,223849,DIABETES,ANDHRA PRADESH,516172
DEVRIN,73,F,1768,AB-,HINDU,211343,ASTHMA,ANDHRA PRADESH,522647
DEVYN,70,F,1810,B+,MUSLIM,200378,SMALL POX,ANDHRA PRADESH,535250
ARANN,46,F,1382,B+,HINDU,220199,DENGUE,UTTAR PRADESH,209206
TITUS,64,F,1544,A-,MUSLIM,212209,CHICKEN POX,ANDHRA PRADESH,532168
FILIP,71,F,1471,AB+,SIKH,208716,BRAIN TUMOUR,UTTARAKHAND,246121
TEMBA,91,F,1803,A+,HINDU,217532,CHICKEN POX,PUNJAB,142050
UZAIR,23,F,1653,AB+,CHRISTIAN,211844,MALARIA,KERALA,673595
TODD,34,F,1416,AB+,SIKH,206194,SWINE FLU,HIMACHAL PRADESH,174034
RONNIE,22,M,1081,A+,CHRISTIAN,223779,STROKE,ANDHRA PRADESH,522529
RYLEIGH,67,F,1293,A+,SIKH,207172,ARTHRITIS,HIMACHAL PRADESH,176103
THEODORE,39,F,1852,A-,SIKH,224839,JAUNDICE,DELHI,110062
ALLISTER,71,F,1246,A-,HINDU,228956,STROKE,HARYANA,123411
ESHAN,91,F,1864,O-,CHRISTIAN,212644,SMALL POX,JHARKHAND,825108
CRISTIAN,26,F,1981,O-,CHRISTIAN,230352,HYPERTENSION,ANDHRA PRADESH,515405
ACE,93,M,1897,A-,CHRISTIAN,220050,DENGUE,JHARKHAND,828204
VALENTINO,85,M,1940,AB-,MUSLIM,213369,TYPHOID,BIHAR,845454
DOIRE,21,F,1149,B-,MUSLIM,205188,HEPATITIS,ARUNACHAL PRADESH,792056
GARY,43,M,1650,O-,MUSLIM,207328,MEASLES,ANDHRA PRADESH,533430
ANDY,37,M,1477,O-,MUSLIM,202125,ASTHMA,ASSAM,788830
TOMAS,86,F,1427,O+,CHRISTIAN,220411,INFLUENZA,ANDHRA PRADESH,521133
HADJI,78,F,1562,AB+,HINDU,232145,DIARRHEA,BIHAR,802212
GRAEME,85,F,1006,A-,HINDU,201746,SWINE FLU,ANDHRA PRADESH,516474
ZACHARY-MARC,86,M,1298,AB-,CHRISTIAN,224747,AIDS,ASSAM,784103
DILRAJ,70,M,1725,AB+,HINDU,204914,MEASLES,ANDHRA PRADESH,524310
REISS,65,M,1633,A+,SIKH,204578,HEART ATTACK,ANDHRA PRADESH,524311
WOJCIECH,30,F,1232,B-,HINDU,230208,SMALL POX,KERALA,679332
